"REF_DATE","GEO","DGUID","Culture, recreation and sports facilities","Overall physical condition of assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Ontario","2016A000235","Indoor pools, 50 metres or longer","Good","Percentage","242","units","0","v1001730908","7.7.4","6.3","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, 50 metres or longer","Very good","Percentage","242","units","0","v1001730917","7.7.5","62.1","B","","","1"
"2020","Ontario","2016A000235","Indoor pools, 50 metres or longer","Physical condition unknown","Percentage","242","units","0","v1001730926","7.7.6","6.3","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, leisure pools","Very poor","Percentage","242","units","0","v1001730937","7.8.1","0.5","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, leisure pools","Poor","Percentage","242","units","0","v1001730949","7.8.2","1.1","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, leisure pools","Fair","Percentage","242","units","0","v1001730961","7.8.3","9.1","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, leisure pools","Good","Percentage","242","units","0","v1001730973","7.8.4","16.3","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, leisure pools","Very good","Percentage","242","units","0","v1001730985","7.8.5","71.5","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, leisure pools","Physical condition unknown","Percentage","242","units","0","v1001730997","7.8.6","1.6","A","","","1"
"2020","Ontario","2016A000235","Outdoor pools","Very poor","Percentage","242","units","0","v1001731009","7.9.1","10.0","A","","","1"
"2020","Ontario","2016A000235","Outdoor pools","Poor","Percentage","242","units","0","v1001731020","7.9.2","12.4","A","","","1"
"2020","Ontario","2016A000235","Outdoor pools","Fair","Percentage","242","units","0","v1001731031","7.9.3","44.1","A","","","1"
"2020","Ontario","2016A000235","Outdoor pools","Good","Percentage","242","units","0","v1001731042","7.9.4","17.0","A","","","1"
"2020","Ontario","2016A000235","Outdoor pools","Very good","Percentage","242","units","0","v1001731053","7.9.5","9.7","A","","","1"
"2020","Ontario","2016A000235","Outdoor pools","Physical condition unknown","Percentage","242","units","0","v1001731064","7.9.6","6.8","A","","","1"
"2020","Ontario","2016A000235","Outdoor spray parks/splash pads/wading pools","Very poor","Percentage","242","units","0","v1234817211","7.28.1","8.5","A","","","1"
"2020","Ontario","2016A000235","Outdoor spray parks/splash pads/wading pools","Poor","Percentage","242","units","0","v1234817209","7.28.2","13.3","A","","","1"
"2020","Ontario","2016A000235","Outdoor spray parks/splash pads/wading pools","Fair","Percentage","242","units","0","v1234817207","7.28.3","13.5","A","","","1"
"2020","Ontario","2016A000235","Outdoor spray parks/splash pads/wading pools","Good","Percentage","242","units","0","v1234817208","7.28.4","38.4","A","","","1"
"2020","Ontario","2016A000235","Outdoor spray parks/splash pads/wading pools","Very good","Percentage","242","units","0","v1234817210","7.28.5","13.5","A","","","1"
"2020","Ontario","2016A000235","Outdoor spray parks/splash pads/wading pools","Physical condition unknown","Percentage","242","units","0","v1234817206","7.28.6","12.8","A","","","1"
"2020","Ontario","2016A000235","Galleries","Very poor","Percentage","242","units","0","v1001729539","7.12.1","3.7","A","","","1"
"2020","Ontario","2016A000235","Galleries","Poor","Percentage","242","units","0","v1001729550","7.12.2","10.8","A","","","1"
"2020","Ontario","2016A000235","Galleries","Fair","Percentage","242","units","0","v1001729561","7.12.3","8.0","A","","","1"
"2020","Ontario","2016A000235","Galleries","Good","Percentage","242","units","0","v1001729572","7.12.4","36.4","A","","","1"
"2020","Ontario","2016A000235","Galleries","Very good","Percentage","242","units","0","v1001729583","7.12.5","17.2","A","","","1"
"2020","Ontario","2016A000235","Galleries","Physical condition unknown","Percentage","242","units","0","v1001729594","7.12.6","23.9","A","","","1"
"2020","Ontario","2016A000235","Libraries","Very poor","Percentage","242","units","0","v1001729605","7.13.1","3.4","A","","","1"
"2020","Ontario","2016A000235","Libraries","Poor","Percentage","242","units","0","v1001729619","7.13.2","5.6","A","","","1"
"2020","Ontario","2016A000235","Libraries","Fair","Percentage","242","units","0","v1001729633","7.13.3","16.8","A","","","1"
"2020","Ontario","2016A000235","Libraries","Good","Percentage","242","units","0","v1001729647","7.13.4","41.0","A","","","1"
"2020","Ontario","2016A000235","Libraries","Very good","Percentage","242","units","0","v1001729661","7.13.5","20.2","A","","","1"
"2020","Ontario","2016A000235","Libraries","Physical condition unknown","Percentage","242","units","0","v1001729675","7.13.6","12.9","A","","","1"
"2020","Ontario","2016A000235","Museums and archives","Very poor","Percentage","242","units","0","v1001729689","7.14.1","4.2","A","","","1"
"2020","Ontario","2016A000235","Museums and archives","Poor","Percentage","242","units","0","v1001729703","7.14.2","10.1","A","","","1"
"2020","Ontario","2016A000235","Museums and archives","Fair","Percentage","242","units","0","v1001729717","7.14.3","25.7","A","","","1"
"2020","Ontario","2016A000235","Museums and archives","Good","Percentage","242","units","0","v1001729731","7.14.4","26.8","A","","","1"
"2020","Ontario","2016A000235","Museums and archives","Very good","Percentage","242","units","0","v1001729745","7.14.5","18.9","A","","","1"
"2020","Ontario","2016A000235","Museums and archives","Physical condition unknown","Percentage","242","units","0","v1001729759","7.14.6","14.3","A","","","1"
"2020","Ontario","2016A000235","Presentation and performance spaces","Very poor","Percentage","242","units","0","v1001729773","7.15.1","2.3","A","","","1"
"2020","Ontario","2016A000235","Presentation and performance spaces","Poor","Percentage","242","units","0","v1001729786","7.15.2","7.1","A","","","1"
"2020","Ontario","2016A000235","Presentation and performance spaces","Fair","Percentage","242","units","0","v1001729799","7.15.3","26.0","A","","","1"
"2020","Ontario","2016A000235","Presentation and performance spaces","Good","Percentage","242","units","0","v1001729812","7.15.4","37.6","A","","","1"
"2020","Ontario","2016A000235","Presentation and performance spaces","Very good","Percentage","242","units","0","v1001729825","7.15.5","12.9","A","","","1"
"2020","Ontario","2016A000235","Presentation and performance spaces","Physical condition unknown","Percentage","242","units","0","v1001729838","7.15.6","14.1","A","","","1"
"2020","Ontario","2016A000235","Indigenous culture facilities","Very poor","Percentage","242","units","0","v1234817181","7.29.1","0.0","A","","","1"
"2020","Ontario","2016A000235","Indigenous culture facilities","Poor","Percentage","242","units","0","v1234817179","7.29.2","0.0","A","","","1"
"2020","Ontario","2016A000235","Indigenous culture facilities","Fair","Percentage","242","units","0","v1234817177","7.29.3","0.0","A","","","1"
"2020","Ontario","2016A000235","Indigenous culture facilities","Good","Percentage","242","units","0","v1234817178","7.29.4","61.0","C","","","1"
"2020","Ontario","2016A000235","Indigenous culture facilities","Very good","Percentage","242","units","0","v1234817180","7.29.5","39.0","C","","","1"
"2020","Ontario","2016A000235","Indigenous culture facilities","Physical condition unknown","Percentage","242","units","0","v1234817176","7.29.6","0.0","A","","","1"
"2020","Ontario","2016A000235","Community centres (senior and youth centres)","Very poor","Percentage","242","units","0","v1001729851","7.16.1","8.4","A","","","1"
